category,body,about,tags,headline,author,metatext
In the Hood,"
,Once upon a time there was this amazing place called Bushwick where places like , exist. Paper Swan is a collective of musicians, filmmakers, producers, but mainly friends who moved in to the loft on 260 Moore #301 in Bushwick in 2008 simply because they wanted to play music together, get to know and support the community through organization of Roots and Bluegrass music events. And they were really successful at it! They have a great history of music events in their loft and lately they’ve been asked to host a series of 9 music nights at Union Hall, all the profit of which goes to benefit various charity organizations. (We wrote about the Union Hall events ,.),This weekend Paper Swan is proudly hosting Melodica Accoustic Festival in their Bushwick loft. The guys invited about 20 bands and performers who will start playing at 5pm on Saturday and at 4pm on Sunday.,Melodica Festival is an international music event started by Peter Uhlenbruch in 2007. Its mission is to celebrate local music scenes around the world and to provide an invaluable platform for emerging artists, musicians and songwriters and to develop new creative friendships. The festival currently operates in Melbourne (Australia), Hamburg (Germany), Reykjavik (Iceland), Brighton (UK), Aarhus (Denmark) and newly in Bushwick!,The Swan guys say that even babies like acoustic music and the atmosphere of their loft is truly magical. Additionally, the admission is free. Check out their , for photos and videos of their previous events and mainly come this weekend!,Paper Swan Collective, The Swan Loft at 260 Moore St. #301 in Bushwick, Free!,Line up:,5:00 Lina Paul,
5:45 Chris Faroe,
6:30 Kendy Gable + Free Advice,
7:15 Elliot Rayman,
8:00 Scott Rudd,
8:45 Morgan O’Kane,
9:30 Will Stratton,
10:15 Chimneys,
11:00 Whale Belly,
11:45 The Slick Skillet Serenaders,4:00 Laura Dunn,
4:45 Chris Fuller,
5:30 Cal Folger Day,
6:15 Beezy Douglas,
7:00 Anthony da Costa,
7:45 Plume Giant,
8:30 Aunt Martha,
9:15 Great Elk,
10:00 Tall Tall Trees","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,music events,Paper Swan","
									Melodica Festival in Paper Swan Loft This Weekend							",Katarina Hybenova,"					
					, | 5.04.11 | , 
				"
People,"Bushwick is like a rough little alien animal that looks ugly on the first sight. Many people wrinkle their foreheads and noses in disagreement, when looking at it as if it smelled bad. But if you look closer, your heart has to melt, because this little alien animal has the friendliest soul.,One of the first things you will fall in love with in Bushwick, is the rich street art scene. The walls of the industrial buildings are beautiful and fantasy stimulating. Just walk around! Probably the most lovable of all the pieces around is , on Jefferson and Wycoff. “Bambi is sexy! Bambi painted over the paper birds is adorable”, says everyone. Bambi is the joint work of , and his friends, Broken Crow and Paint Goggles.,Soon enough after you fall in love with Bambi, you can start playing the message game with OverUnder. Look for the folded papers or paper bird tags of OverUnder not only in Bushwick, but also all over Brooklyn and read what he has to say. OverUnder is one of the most philosophical street artists out there:,And many, many more….,He has a strong voice and is not afraid to talk about the current affairs through his art on the walls. Shortly after the terrible natural disaster in Japan, OverUnder, with his friend No Touching Ground, made a large mural on Johnson Avenue called ,, where they urged the public to donate to Japan, even if it meant not being able to pay rent. Helping Hand struck the media strongly and proved that the power of street art is greater than just to making sad industrial buildings pretty.,OverUnder loves , surprising joint work with his peers. Lately, he made a whole bunch of murals with his buddies from Robots Will Kill, a collective that he recently became a part of.,There is certainly something serene about watching OverUnder spray paint on a wall somewhere deep in industrial Bushwick. OverUnder protests when I take photos of him riding around on a tall bike, because that’s too circusy according to him. I have to laugh. Many people stop by to take a snap shot of the newest addition to the Bushwick street art. OverUnder smiles friendly and exchanges a couple of words with a photographic bystander. His buddy , is sitting on a curb on the other side of the road, watching him doing the final touches on the wall. OverUnder’s girlfriend comes by just before the sun starts to set, and we’re all laughing when OverUnder misspells his own tag at the end of the day.,Read OverUnder’s blog ,.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,Featured,Katarina Hybenova,OverUnder,People","
									Follow the Birds of OverUnder							",Katarina Hybenova,"					
					, | 5.03.11 | , 
				"
Arts and Culture,"Merry beginning of the week to ya all! Hopefully, you managed to register your studio for ,yesterday and if you’re a film or video maker we have another deadline for you!! Mark , in your calendars because ,, a gallery dedicated to film, video, sound, performance and other time-based art is now accepting film & video submissions of all types and formats for programs featuring innovative and unusual works by the Bushwick area artists in conjunction with the ,l.,Your works should be under 30 minutes and completed in 2010 or 2011. The Festival will take place June 4 & 5 at Goodbye Blue Monday.,Selected works will be announced on May 25th.,To submit send an email with your name, address, contact info, title of the work, screening format, length, date of completion, description, and a link to preview your work to BOSfilmfestival@gmail.com,If your work is not available online, send a preview DVD to: Microscope Gallery (Attention: BOS Submissions) 4 Charles Place, Brooklyn, NY 11221.,If you have any questions, email Microscope Gallery at BOSfilmfestival@gmail.com",,"Bushwick Open Studios,call for submissions,Microscope Gallery","
									Film and Video Call for Submissions!							",admin,"					
					, | 5.02.11 | , 
				"
Music,"Awesome Bushwick band Navegante (we wrote about them , some time ago) has a new video for their single All In Ur Head. Check it out!",,"Bushwick music,Navegante,Tunes","
									Navegante: New Video!							",admin,"					
					, | 4.30.11 | , 
				"
In the Hood,"Perhaps you have noticed the workers on Bogart and Varet in Bushwick working like busy bees… And most likely you have noticed the wooden 1920s style bar being created in front of your eyes when coming from the Morgan subway stop. And maybe you were lucky enough to catch the soft launching of The Morgan 3 weeks ago. If not do not despair! Because [the very secret] bar at 25 Bogart St. opens for real tonight with all the festivities!,Richard Guishard and Jitka Karlikova, both artists and Richard specializing in interior design, are the co-owners and are promising a lot of fun. The Morgan will be probably the biggest live music venue in Bushwick with 3 [!!!] stages. We have seen the 1st of the them during the soft opening; additionally there is a music lounge in the basement that opens tonight for the 1st time;  and in about 2 weeks the 3rd live music space opens in the back.,
,We stopped busy Richard Guishard for a quick interview about tonight’s grand opening:,So we are going to start the night around 9pm with a burlesque dance. We are having free samples of the food from our menu until 10pm. And then we have 3 bands in the basement, in the Morgan Lounge.,Yeah!,Yes! It’s huge.,Yes. Every single day. From 5pm to midnight on weekdays and  from 11am for the brunch until like 2am on the weekends.,Yes, definitely, we will have concerts… We want to target Bushwick and Williamsburg people, maybe also people from Manhattan. Depending on the type of the event and on the promoter.,I don’t have a particular music inclination, but I want this place to be a reflection of the neighborhood. I want people to contribute. I want local bands, but also performances, lectures… I want this to be a community center.,Yes, we will be having rotating exhibitions.,So come and say hi tonight from 9pm at The Morgan at 25 Bogart St. (corner Varet) on Morgan L train.,﻿","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,music venue,The Morgan","
									[Shhhhh!] The Morgan Bar opens tonight! Big style!							",Katarina Hybenova,"					
					, | 4.29.11 | , 
				"
Music,Vacuum cleaner or London Sinfonietta? Both work pretty well in the use of East London experimental musicians Micachu & The Shapes. Watch Turn Me Well from their 1st album Jewelery and Everything from Chopped & Screwed.,"Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.",Micachu & The Shapes,"
									Micachu & The Shapes							",Katarina Hybenova,"					
					, | 4.28.11 | , 
				"
Opinion,"As time shifts towards New York and away from my childhood in Boston, I look around and realize there is not one friend whose office I can use to send a fax. I collected myself and thought again; no, no one I know works in an office.,I cast a glance backwards four years to my last days at school. Half way through my senior year, I was really starting to feel righteous and excited. “Sure,” I thought, ” I might need to pull the wool over mom’s eyes for a few months when I graduate – plant myself in some cubicle – work on the plans for world domination, it’ll be as easy as twiddling thumbs.” While around me the seniors, many of whom were also taking “E^3″ the entrepreneurship minor, were casting their nets in all directions, aiming for contacts, internships and opportunities. Almost everyone I knew was either at a stable job or looking for a 401k.,It’s hard to believe how far I have distanced myself from the world of 9 to 5′s and how far it has distanced itself from me. The closest contact I have to office environments is my brother’s second wife submitting my botched resume to the legal department at her insurance company job, assuring me with email notifications that soon I will have a remedial, stable job and mom will stop worrying. On occasion my roommate will work in the art department on a feature film assisting the art director, production designer or less excitably, pushing papers. The latter can certainly be compared to a suit oriented job, as the production company usually takes over the abandoned offices of failed companies – some of which take everything, some of which leave the eerie scent of stale boredom lingering about the cubicles.,As my roommate and I occasionally live through each other’s experiences, I can claim that I am sometimes kicking the fax machine by the front desk in the lobby, and that sometimes my roommate has to check the calendar to find out where the hell I’ve been for the last four days, and where the hell he’s supposed to be. Lives that are lived close tend to drift to an fro, touching for a year or so, before drifting back to their original treaded paths. After working with him to raise a start-up BDSM & Fetish porn production company, then taking a year to assess our personal goals, we are both starting to waver in come very creative and solid directions. While I’m working on a new website to showcase the work of a young production company [without much porn, and without much of a scary crazy Russian investor] called hausNY, he’s helping produce trailers, shorts, reels and pilots for both new and old projects that come his way.,Hue Hefner [as well as many others] have been quoted to say “at the start I wore ever so many hats”. While it might take a while to get where we are headed changing hats all day – maybe longer but hopefully much sooner than getting tenure – it will certainly be nice to make senior partner, to myself.,——-,Today’s column was written while I indulged in ::,Haagen-Dazs , flavored frozen yogurt, with raw almonds and blackberries.,[The froyo can occasionally be found in Bushwick, at Bushwick & Myrtle's Best Deli, Myrtle & Broadway's beloved Mr. Kiwi or Khims Millenium Market on Bushwick & Johnson],——-",,"Curious Wednesday,ms. marquise","
									Curious Wednesday // Entrepreneurs							",Marquise,"					
					, | 4.27.11 | , 
				"
People,"In my vintage 60’s dress obtained in Williamsburg a couple of days ago, with the utmost care, a love for clothing, and the determination to face any fancy society, I am standing at the entrance of a SoHo loft where , is throwing a benefit for her upcoming ,. I met Sarah a couple of weeks ago at , at 3rd Ward, where she came to present her living painting project.,She was like a fairy floating between the audience, giving away her famous matches (showcasing a scene from one of her Tableau Vivant performances, involving an implausible interaction between two young, nude females and two elderly, fully dressed women). I wasn’t quite sure what this Tableau thing was about, but I was determined to find out.,I do know that Sarah is fascinated by photographic portrayals of sharp contrast – This is highlighted in her work, both among her individual subjects, and between her subjects and their surroundings.,In the mean time, inside the SoHo loft, a pink cocktail is melting my insides, leaving me oblivious to the rain and mayhem outside. I am watching a portion of a documentary about the process creating the Tableaux Vivants and I am starting to understand how much care Sarah dedicates to the casting process of her models. In the performances, part of the cast performs nude, while others are fully clothed. An inseparable part of each of the Tableau Vivant performances is also a Bulgarian a Cappella group, enhancing the emotionally dense atmosphere on the stage.,Later on, in Sarah’s living room, I am drinking a peppermint chocolate tea she has prepared, admiring her collection of My Little Ponies and her attention to adorable details. I am thinking that her apartment doesn’t seem like the apartment of a famous artist, but, at the same time, I am wondering just how the apartment of a famous artist should look… Probably something like this.,Sarah is explaining the difference between nude and naked photographs. While nude photographers expose the human body as shape and object, Sarah is looking to position her models into a place where, through their naked bodies, they expose their deepest emotional states; their souls.,Sarah is describing how the idea of her Tableaux has evolved. In the very beginning, she just wanted a live photo-shoot, only soon to realize that she was actually creating a living painting. Sarah casts characters in a variety of ages, ethnicities, and personalities, with all sorts of backgrounds: from people working in the prudent environment of finance, who feel the desire to express themselves artistically, to professional artists. Most of the people coming to Sarah are determined from the beginning, whether they choose to perform naked or in clothes. Sarah says it’s 50:50. She directs them to interact with each other, and to express the strongest emotion they can feel – Some people choose tears, others laughter, some are sensual, others angry…The performances usually last about 30 minutes, though Sarah is aiming for about an hour in her upcoming 120 model Tableau.,All 7 of the past Tableaux have included a Bulgarian singing group. I am curious how an American photographer ends up singing tragic Bulgarian folklore songs – Sarah smiles, and tells me how by accident, she discovered a record of Bulgarian singing in The Providence Public Library while at art school, and thought it was the most beautiful thing she had ever heard. She has always been very musical and after she moved to New York, she decided to join a Bulgarian a Cappella choir, herself.,Sarah describes that her goals for Tableau Vivant, are not the photographs, or the documentary film. In the very fashion of the 19th century tableaux vivants, and in the spirit of old masters, it’s the performance and the experience itself, which is the ultimate goal…,
","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Featured,Katarina Hybenova,People,Sarah Small","
									Emotions of Sarah Small							",Katarina Hybenova,"					
					, | 4.27.11 | , 
				"
In the Hood,"Matt Coch is a Bushwick-based photographer, born in the Bronx and the man behind an amazing photo-blog ,. Matt says he likes to share his passion for Brooklyn and New York through the images. Bushwick Daily totally fell for his project ,.,During his walks in the neighborhood, Matt is constantly confronted with items that have either been lost or discarded onto its sidewalks and streets. Like an archaeologist who pieces together the story of past societies through unearthed artifacts, Matt has been photographing and documenting these found objects. Taken together, these images paint a portrait of our neighborhood and its fellow residents.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Brooklyn Theory,Bushwick,photography","
									Lost and Found in Bushwick							",Katarina Hybenova,"					
					, | 4.21.11 | , 
				"
Opinion,"On a block in Chelsea devoid of nearly all advertising, at the west side edge of the world, hangs a lonely sign “Scores”, across from which is a series of large black doors and an ever growing line of sophisticated, middle aged spectators who had all signed up for the earliest time slot on this particular Tuesday evening.,A large, yet soft-spoken bouncer – in traditional security regalia of black sports jacket, black everything – is armed with one blue starred stamp and a short, bouncy sidekick on a walkie talkie – the ear piece strapped to his head.,They let us in 5-10 at a time, “good thing it’s warm out”, I thought as I took one last look down the line before I was ushered in with a handfull of strangers chatting behind me. Only a few steps beyond the door, total darkness set in, with one dim 5watt bulb hanging low in an old dusty fixture above our heads, it seemed as though it might as well have been shining darkness rather than light; I got tingle rolled down my spine. A few minutes later the line had become an exercise for my eyes, to acclimate to the deep black of the walls and the textures of indiscernible paint and concrete, plastic and metal.,Finally, arriving at the “concierge / check-in” of the hotel [venue] I was handed a playing card [10 of spades] and was told to walk to my right and make a left up the stairs.,HERE IS WHEN IT GETS CONFUSING.,By the time you reach the holding area, a smokey red velvet lined jazz lounge [sometimes] playing live music, you forget that you had just walked up X amount of flights, delivering you from the X floor to the X one. Here you listen for when your playing card is called by a crooner of a jazz lounge host, over a vintage microphone, you are ushered to the elevator by the lady of the dance floor. Then, you are handed a mask, ordered not to talk and crammed into an elevator where you will most certainly be separated from your friends. The elevator makes a random stop on either the X, X, X, or X floor, of which you have no say and no knowledge [if the liftman sees you looking at the number display he will shut it off, as I found out]. By the time you are ejected from this elevator, you realize that when everyone is wearing masks and are not allowed to speak [thus becoming anonymous] they become extremely rude, pushy and retain few physical limits when cutting you off. Granted, by now the later time slot / younger ticket holders had filtered in and mixed up the age demographic. We stampeded out of the elevator, I paused, body acclimating to the change in atmosphere.,By the damp chill in the air I could tell I was on the X floor, I walked around some bedroom chambers, a living room full of shelves, clocks and letters from Lady MacBeth. “A clue!” I thought, despite already knowing the premise. I walked in and out of tiny rooms, observing the meticulous decoration as much as I observed the other guests. When I had first imagined the scenes being interactive, my main concern had been people being too polite to ruffle through the drawers and notes. But the rapid news of such a liberally interactive installation must have spread fast, because everyone in eyesight was poking, prodding and sifting through relics like monkeys on a field trip. I circled my way through the layers of draped fabric and electric candles into a ballroom overwhelmed with the scent of pine. In the middle was a dance scene with three couples ballroom dancing in the broad sense of the term. In my corner of the floor, governess put a cloak on a young girl, then the couple hurriedly took off. I follow them; I loose track of the girl but follow the matron back up to the mezzanine of clocks, where she covers them, slowly, with cloths. I wander off to the balcony overlooking the ballroom scene I was standing on only moments ago, now on the dance floor a couple is fighting. A bald witchy woman is hissing at a man, they throw each other across the floor gracefully, landing like cats, or birds, or professional dancers. The man runs off to the side, up the stairs, across the floor – suddenly a crowd of 50 guests is hurdling themselves up the stairs trying to stay on someone’s heels. All heels are lost; I pick a doorway – and find myself on the X floor.,I see a new crowd in a corner in the room, heads bowed to peer down at something. Lady Macbeth is waiting impatiently, body contorting in spastic yet controlled, rhythmically precise movements, building with the crescendo of the song driving her madness. She balances on the edge of a bathtub before loosing her grip – her husband runs in, with blood covered hands, her back too is now stained red. She strips him nude while they embrace in a sequence of frantic kisses, intermittently pausing for his entry into the tub, his last strands of public discomfort shine in his eyes and stain his breath like pigments of hesitation. Rapidly, he rubs off the blood, then hesitantly with a staccato in his step he emerges from the tub to join his Lady; they walk back to the corner and lie down in bed. Then suddenly he sits up, jumps out of bed and leaves the room again; half the spectators follow, some stay – here the Lady rubs her hands repeating “out, out damn spot” as she throws herself violently against the walls and bed, repeatedly. I grow bored and wonder what other performances are going on as I stand glued to my spot, so I exit through the glass doors surrounding the bedroom chambers, and walk through a garden with half walls of brick and large statues of mary bathed in blue light, as I search for performances and a couple particular rooms I remember from the walk through, half of which I never do find. As I continue across the floor turns softer, and the scent of warm moist soil surrounds me. In the distance I see small mounds with white upward crosses stuck into the crests. At the end of the narrow path in the soil is an old abandoned stroller, one I would kill to have. I find my way to another staircase and climb upward.,On the X floor a scent of mulch fills my nostrils [maybe a little too much, as my tissues were coated in black upon exhausting the contents of my nose that night], enormous walls of crates and boxes unwind into a room with a pool table and a wall of 300 playing cards, many of queens, all tacked in one corner. Later, this would be the scene between two men and the bald witch, who will dance and laugh with a card between their lip-lock. The boy witch walks over, standing much too close, he urges me to move silently, seconds before the other man hurdles past and onto the wood bar with a loud thud. Two minutes later the girl on my left has her mask knocked by a stray foot in the tumultuous fray on the pool table. Another girl nearly trips over her own feet, which would have landed her face first on a wood box, trying to outrun the crowd to secure a front seat at the other end of the room to which the action has moved. The crowd is too much for me, and so I escape into rooms that are filled with black magic and dry purple flowers above my head, and others filled with musk like grandma’s. I look for an air freshener, a plug-in of sorts for at least 3minutes before I admit that if I were to find one, it would certainly not be labeled “grandma,” and that all objects, garments and fabrics in the room must contain centuries of history to smell so pungently of the past.,I wander back towards the room full of taxidermy birds, animal heads and bones as if it’s my one familiar sight in this strange massive world. The path there is a hallway of what seem to be a number of rooms and shops through wich actors move, there stands a girl with a box and a key, which a guest tries to touch and nearly gets her hand slapped. Another girl gets chosen and rushed off, pulled by her arm into a little room, to experience a solo show, a creepy lap dance of sorts with incantations and rituals I was not privy to this time around. I walk around the corner, a taxidermist’s workshop, nearby is a candy store; each room decorated and etched inch by inch to the last detail. A funeral parlor with a coffin, books, quill, ink wells and death certificates, stamped with the year 1934. And with that clue, things started to make sense. But, I have said too much already, I will leave not only the remaining X and X floors a mystery, but also the conclusion with it’s occasionally malfunctioning noose.,Folks, this is a must see. I don’t want to ruin ALL the fun and surprises so you will just have to trust me. I know here in Bushwick tickets upwards of $75 sound like less than a steal – but think of it as taking yourself on a date [yes, it's that good]. Save your pennies, and tip cheap, cut corners, don’t cut your hair – do ANYTHING and everything to get your asses to ,. A-SAP.",,"Curious Wednesday,ms. marquise","
									Curious Wednesday // Sleep No More :: a must see							",Marquise,"					
					, | 4.20.11 | , 
				"
People,"Black coffee in a plastic cup that Andrew Birk served me in his studio at Johnson Avenue reached the perfect temperature to start being sipped and I just reached a peace agreement with my perfectionist self that this week’s Tuesday Person, Andrew Birk, will be photographed with an iPhone, instead of my regular bulky Canon 5D.,Andrew, a Bushwick painter, just lit up his cigarette and took a sip of his coffee as well. Noticeably hype on caffeine, he is jumping around, trying to show me everything at once: from a number of paintings to the music he likes and to his hand-made maisonette. Luckily, my coffee is starting to kick in nicely and I am able to follow Andrew’s speed.,Andrew, still holding his plastic cup, is just running up the stairs while explaining that virtually all of his paycheck from an art supply store goes to pay the rent for this studio. He doesn’t buy much food and runs on coffee instead. Andrew likes this deal.,We were both sitting on the chairs on the wooden maisonette, and Andrew is playing with the volume button of his stereo. “My friends and I make ,. This is my voice, I am talking about wanting to have sex with girls.” Andrew comments on the music that is playing in his studio. “Are you offended?” he asks and I have to laugh because I am actually impressed.,Andrew is excited that I am taking photos with an iPhone. He says that he hates those ‘beautiful’ overly fabricated photos in the magazines.  He loves noise and red eyes and is the biggest fan of amateur Facebook photos where everyone looks a bit dorky. “Yeah, it’s perfect. It actually works way better with what I am trying to make here. Like those paintings.” He points to a number of paintings lying on the floor. “I am trying to make as many as possible. Without thinking about what I’m doing. ” He says he’s trying to awaken the primitive inside of him, that monkey who, despite all the techniques he learned at art school, paints instinctively. Andrew is aware of the temporariness of these paintings and wants to make so many that they would cover the entire floor and people coming to his studio will have no other choice but to walk on them and destroy them.,I’m assigning my brain homework: Take ugly pictures! Forget crispiness, vibrant colors or aperture. This is iPhone 2 in action. Bring on the noise!,Andrew is telling me about this kid from California he likes, ,, and is asking me if I know him. I don’t and so he goes on: This kid makes a lot of music and uploads it to the Internet almost every day. Some of his stuff is pretty bad, but some things are great and Andrew generally likes this creative approach. Becoming a monkey, that’s a life-long mission.,
,
, ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Andrew Birk,Featured,Katarina Hybenova,People","
									Get Noisy like Andrew Birk							",Katarina Hybenova,"					
					, | 4.19.11 | , 
				"
In the Hood," is a Bushwick-based production collective who came to the public attention thanks to the number of music events they have hosted in their Bushwick loft, Swan Loft, since 2008. Paper Swan has showcased a number of the most celebrated Brooklyn ,s.,Now, Paper Swan have scored a collaboration with one of the most popular Brooklyn’s venues, ,, sponsored by , to host a series of 9 monthly fundraising music events, the first one to support ,. The first of the events will take place tomorrow at 8pm in Union Hall and will feature music by The Click Clack Boom, Feral Foster, Thy Burden, Rickety Wrists, and Free Advice. The admission is only $5.,Paper Swan is promising a lot of fun in the upcoming weeks in their Swan Loft in Bushwick, so stay tuned to your favorite Bushwick blog ",,"music events,Paper Swan,Swan Loft","
									Paper Swan to host 9 events in Union Hall							",admin,"					
					, | 4.18.11 | , 
				"
Arts and Culture,"Bushwick Daily is happy to introduce an iPhone photographer Prince Franco and a selection of 4 photographs from his ongoing series ,. Multiple layers of his Reflection photos unravel objects and feelings captured consciously and subconsciously as well. Prince takes these mainly on his train rides using his iPhone, which gives him a discrete profile as opposed to a DSLR camera. Prince says that he can’t afford a DSLR camera, nor he wants one and is fully determined to explore the limits of an iPhone.,Prince Franco was born in the largest housing projects in North America, in Queensbridge, Long Island City and at the age of 18 was arrested for an assault with a deadly weapon. That’s when he realized he doesn’t want to become just another minority guy in the NYC jail system and wants to create art. He studied fashion design and realized the power of capturing an image when his best friend introduced him to the famous polaroids taken by one of the most influential personalities of the time, ,.",,"photograohy,Prince Franco,Reflections","
									Reflections of Franco’s Eye.							",admin,"					
					, | 4.15.11 | , 
				"
Opinion,"My look into the world of interactive theater, and large scale installation art had exactly who starting points.,The first point was planted, like a stake of a tent, securely into the damp ground of my life a year and a half ago during the month of October. I had never worked on a “run” of any show, let alone a month long run of up to four shows a day, but many cast members had. My good friend , had asked me to participate as a character in an interactive, theatrical haunted house. The concept was fairly simple – , Ok, it was more simple than it sounds, at least after all the wrinkles were smoothed out by inevitable mishaps, poor planning or namely the sponsor’s lawyer who would walk around sending emails from his blackberry to the director with notes on censorship. The brunt of the creative blow weighed on the director and the cast, some of whom were let go and some of whom remained to piece together a very vanilla s&m halloween show. The one stable force was ,, the producer of many large events in both nightlife and theater, as well as Purgatorio. Despite being paid a day rate more suitable for a PA, it was hard to be late, knowing you would get a polite inquiry and stern look from the man who was becoming the show’s emotionally unavailable mother X your mildly flirtatious middle school teacher, who was entirely responsible for your check at the end of each week.,The opposite stake of my rather figurative tent was planted this past December of 2010. I had been walking around the Scope show warehouse of regurgitated art when one booth struck me. The wall noted the exhibit [or sculpture] to be titeled A Viking Funeral, by Ryan O’Conner. There was a pile of coal with two beautiful iron gates propped up in it with a metal rod projecting vertically in the middle, supporting a generously reflective chunk of broken glass. I stopped. My two escorts who at the time were wearing body suits of silver material more glaring than the glass shard, were also stopped at the edge of the booth, looking up a ladder at a man teetering at the top, tinkering with a track light. “How’s this?” he asked. Here I stepped forward, no longer being able to hold back my objection [an occurrence more frequent than the inverse], I voiced the opinion that the chair of hammers was much too aggressive to have any business hiding in the back. An hour or two [I obviously lost count after the placement of the 5 foot hourglass shaped structure] I was sipping on Johnnie Black, discussing my choices with Ryan, who was starting to reveal some local Bushwick affiliations and friends. By the end of our chat I had determined him to be a local artist forever on the run from mediocrity as well as a small town / community mindset, despite being inseparable from some ancient staples of Bushwick party culture, mainly the Danger crew [and now Artists Wanted].,I have had a lot of worlds and stories collide, no doubt to my surprise as much as  my readers’, but this was one was – as they say- for the books. I was told by Ryan, soon after our return from Basel | Miami | 2010 that I had to see the interior of this old club that had been remodeled into 6 floors of stages, with installations on every floor but the top most, and 22 actors playing out the story of Macbeth. As Vance stepped around the massive columns of the building to welcome our small group of wayward artists and visionaries, I let out a shriek of joy – , he was producing this show. As he wound us through the tour, spouting facts and figures without much thought, it became apparent how many tours he must be giving privately in order to keep this show away from main stream advertising and press. The rooms were filled with endless stacks paper, whole and shredded, taxidermy, claw foot bathtubs filled with dirt, dirt filled rooms with forests and forests of hanging dolls around cribs and eggs in cribs of filing cabinets filled with shredded paper files. IT WAS INSANE, which I am fairly certain was the production goal. With an estimated budget of $8 million, and $75-$85 / , I would hope t0 loose an ounce of sanity, for at least the two hours of my life during which I am lost in a play.,Yours Truly be attending , in the next couple of weeks – keep your eyes loosely open for reviews.",,"Curious Wednesday,ms. marquise","
									Curious Wednesday // Sleep No More :: sneak peek							",Marquise,"					
					, | 4.13.11 | , 
				"
People,"The sound of the breaks against the rubber tires of my bike feels so good. Alas! It’s the first beautiful day in Bushwick in about million years. I just stopped in front of ,‘  house at Wilson Avenue. Allison is sitting on the stairs holding the leash of her long-haired dog Lucy. She’s pleasurably inhaling the fresh spring air and Lucy is wishfully gazing in the direction of Maria Hernandez Park.,
Allison shakes my hand and smiles. Lucy licks the handle of my bike and sniffs my knee. I understand that the three of us are buddies from now on.,I’m curiously checking out the vintage cameras neatly placed on the shelves in Allison’s living room. She’s explaining from the kitchen, while preparing aromatic Russian tea that she loves to collect them, although as it turns out many times, most of them don’t work.,
In the corner under the living room table sits Lucy pretending that she’s a little dog. On the table lies a stack of freshly made , prints ready to be hung in , before Allison’s first solo show opens on Saturday.,Allison is a passionate traveler. She saw remote villages, hiked to active volcanoes, tall mountains and seas of different shades of blue. She has traveled to Middle East, Southeast Asia and Central America, many times only by herself.,She smiles shyly, explaining she doesn’t like to be on the other side of the camera too much. Her blue eyes sparkle when she’s telling me about her upcoming travel plans to Iceland and India. She carefully uncovers her photographs with white gloves. She took those when traveled equipped only by analogue cameras. Allison says she prefers the discrete profile of her film cameras, in addition to the aesthetic and processes they lend. Actually, she always prefers the film cameras whether she’s somewhere far and remote, or as near as South Jersey.,Many weeks later after Allison develops the photos in her kitchen, she likes to look at them again. Then she discovers that some of them are more than just her travel memories.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Allison Sommers,Featured,Katarina Hybenova,Microscope Gallery,People","
									Traveling the World with Allison Somers							",Katarina Hybenova,"					
					, | 4.12.11 | , 
				"
Arts and Culture,"You can tell the excitement in the air… The 1st Bushwick ballet , presented by Jason Andrew and Norte Maar premiers this Thursday and will continue until Saturday. I became a part of the family of the choreographer Julia Gleich for 2 rehearsals and followed the development of this exciting piece with my camera. Take a peak behind the scenes and get ,, because the ballet is almost sold out!, ,, ballet presented by Jason Andrew and Norte Maar, April 14, 15, 16 at 7:30pm, , in Brooklyn, Directed and choreographed by Julia K. Gleich in collaboration with artists Audra Wolowiec, Austin Thomas, Kevin Regan and Andrew Hurst., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Jason Andrew,Katarina Hybenova,Norte Maar,photography","
									1st Bushwick Ballet in Rehearsal							",Katarina Hybenova,"					
					, | 4.12.11 | , 
				"
