category,body,about,tags,headline,author,metatext,post
Fashion & Shopping,"Just when I thought the Barbershop was going the way of the Dodo, one opens up in Bushwick. ,, located off the Morgan L stop on Flushing Ave, has opened its doors to the public, which means all you unkempt Bushwick dudes have no excuses left!,We chatted with Danny Baptista, the man behind the endeavour, about the state of hipster facial hair and correlation between a haircut and manliness. We found out that there’s more to a haircut than just a pair of scissors.,A well-groomed man, who looks his best, is ready to take on any situation. Pride in one’s presentation is important.,I believe there is a correlation between a haircut and manliness. Men should go to barbershops as their grandfathers did, not unisex shops or salons. A barbershop is the ultimate men’s social club and we should not allow that tradition to die. It’s not a trend; it is part of being a man. You go, and you take your son, and then years later, he does the same. It is part of manly culture and tradition.,There are a lot of barbers and hairdressers in my family. My grandfather cut hair in the Cape Verde Islands. As a kid growing up I cut hair for my friends and family. I owned a barbershop inside my skate shop in the ’90s. I finally got my NY master barber’s licence and started practicing legally eight years ago.,We opened here on the 1st of November last year. I was in the back room inside Post Bikes for three years before that.,We certainly do get walk-ins but, to be honest, we prefer appointments. But if someone drops in off the street we do our best to accommodate him.,Yes. If they’re thirsty! We offer all our clients cold Tecate or Modello, as part of the deal.,Originally I got the first two Koken President chairs from an old man in Connecticut who was closing up shop. Since the new space was bigger, I expanded to a three-chair shop and the hunt began for a third matching chair. I was emailing people from Internet ads that were literally five years old in the hope they would still have the chair. The ’80s skateboard decks and framed tattoo flash are all mine that I’ve acquired over time. The station cabinets came in from a wholesaler in Wisconsin; they came from a 1940s hospital originally.,Elvis Presley had fantastic hair. But that’s too easy. I would say Robert Deniro’s charcter Sam Rothstein in Casino had it down. Cab Calloway also had great hair and style.,I don’t think the beard is going away any time soon. More and more women like it, so that’s the real anchor. Speaking personally, I wore a beard at various lengths for the last eighteen years and I think it looks great. It’s a manly look and with a great haircut it’s good to go. I think where guys go wrong, and I’ve been guilty of this is the past, is not grooming the neck beard, going for the “father time” look. You don’t have it right when you have a young handsome face and a Santa Claus beard. Big beards can certainly look good when they are groomed. I try to school guys on that. I personally grew tired of wearing a beard when I started to look like everybody else around here. I shaved it off and rocked the skinny mustache. I’m bringing back the mustache for now. I’m sure the beard will take hold of my soul once again…,I like Clem’s or Lone Wolf. But I drink rum and the problem is I tend to have more rum at home than any bar in Brooklyn.",,"barbershop in bushwick,danny baptista,facial hair,hipster facial hair,The Stepping Razor Barbershop","
									What’s the Status of Hipster Beards and Other Manly Things at The Stepping Razor Barbershop							",Thérèse Maher,,
"Featured,Food and Drink","Sometimes it seems like our whole live revolves around the L train – a harrowing fact considering most of us have either been cursed out by a sassy teenage girl or seen someone strip down to their skivvies during the long commute home. After rides like those (or, let’s be honest, any subway ride), all we want, all we need is a stiff drink. Which is why we’re depleting our MetroCards to round up the best bars within steps of each L stop in Bushwick. Let’s start at the Montrose stop, where we can toast (or curse) the MTA at these five within-walking-distance bars.,This new kid on the block opened in August, attempting to seduce locals with 18 rotating taps (pouring $5-$8 brews), cozy booths, dim lighting, and typically quirky BK décor like a bronzed Roman helmet, mismatched vintage lamps, and a large fish sculpture that looks like it’s ready to dance (probably during the DJ-ed dance parties on Thursday and Saturday nights). Aiming to be a neighborhood spot, , cuts $2 off any drink during their daily happy hours which go ‘til 8pm …just enough time to throw back a few post-work drinks and get home in time to watch Downton Abbey.,: The thick-as-a-blanket Ithaca Gorges Smoked Porter ($6),Housed in a converted garage, , expanded to 2x its original 2006-era size, offering more than just the opportunity to make a few fowl-related puns. The décor’s irony factor is high, with a mix of tongue-in-cheek art, mismatched sofas, and a winding ceiling staircase to nowhere. But let’s focus on the important stuff: alcohol. Along with their infamous beer and shot specials (ex: the Dirty Sanchez, a Modelo Especial + shot of tequila, $6), they also pour seasonal cocktails ($8-$10), craft beers ($5-$7) and the classics, including a killer Moscow Mule ($8). Happy hour is seven days a week… a waste since you only work five. Cash only.,: Hot cider spiked with rum or bourbon ($8) or a “Hot Roddy,” a hot toddy made with spiced ginger rum ($8),No need to break out your woodworking tools to appreciate the rustic vibe of this ,. It’s a spot where you can simply drink like you’re meant to drink, with twelve American craft beers on tap, classic cocktails, and a selection of spirits from local distilleries. Grab a drink at the 17-foot-long white oak bar or sneak into a cozy alcove enclosed by exposed wooden walls. The vibe is laid back, happy hour lasts ‘til 9pm and warm weather will call for drinking a Coney Lager ($6) outdoors on their patio…the ideal end to any work day. Cash only.,: Seasonal beers from local Brooklyn Brewery ($5) and Kelso Beer Co ($5),Opening as soon as the weather’s warm enough, , boasts 60 beers on tap, 250 bottles, and a fully stocked bar, providing plenty of much-needed liquid relief after a long day. Half outdoor beer garden (The Well) and half indoor drinking hall (The Wick, not yet open), it’s housed in the former Hittleman Brewery, once part of the historic Brewer’s Row. On warm summer nights, you’ll find events like “Bike-In Movies”, indie music concerts (like last September’s Ty Segall & Thee Oh Sees) and straight-up dance parties…a well known stress reliever. Cash only.,: Belgium’s Hof ten Dormaal Winter 12 or Denmark’s Evil Twin Bikini (for drinking while dreaming of summer),Behind the somewhat forbidding metal-barred windows, this small, unassuming cocktail joint packs a lot of warmth into a narrow space. Sidle up to the long, burnished metal bar to order from a simple menu, consisting of four draft beers, 15 bottles, and classic cocktails done right (including a very stiff Dark & Stormy, $8). Located diagonally from the Montrose stop, right on Bushwick Ave, , is classy but unpretentious, offering beer and shot specials ($6) that take the edge off any long day. Cash only.,: Warm up with a muy spicy Diablo Caliente margarita ($8).","Writer, editor and sometime photographer. She can usually be found dancing unironically in an oversized sweater or waxing poetically on the perfection of Dolly Parton's ""Jolene"".","bars,Bushwick,drinks,duck duck,East Williamsburg,Montrose,post no bills,the graham,The Well,The Wick,tradesman","
									Drink & Ride: 5 Bars by the Montrose L Train Stop							",Arielle Sachar,,
In the Hood,"  [The L Magazine], [Serial Optimist], [Bushwick Nation], [FREEwilliamsburg], [Brokelyn], [Greenpointers]","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick Nation,freewilliamsburg,greenpointers,reading list,serial optimist,the l magazine","
									Reading List: Night Spa, Bushwick Bodegas, Coney Island in the 1950s							",Katarina Hybenova,,
Food and Drink,"You may have heard about Bushwick Gourmet Food Startup ,. If not, we’re going to let all you foodies in on a little secret…and hint, it’s a game-changer! Chefday literally delivers to your door an all-exclusive culinary experience that both teaches you to cook delicious new dishes and provides the backdrop for a social cooking get-together. I was absolutely delighted to give it a try.,ChefDay, whose headquarters is just off the Jefferson L train stop, is another culinary achievement thanks to the ,. The company was started by three French friends who simply wanted to share great food. They’ve acheieved this goal by putting together an ambitious start-up that features exclusive video recipes from some of New York’s most famous chefs for everyone can enjoy. So far, they are featuring , - including ,, ,, ,,  ,, ,, and ,You choose the recipe that you want to cook up and they’ll deliver everything (literally, even salt and pepper) you need to cook the dish to perfection. Along with your fresh groceries – which by the way, are pre-measured and pre-washed - you’ll receive a delicately designed and put-together care package of information, including a physical ingredients list and recipe. Even better, they provide you with a link to your own person video tutorial on how to properly cook your dish. Think of it as a 1-on-1 with some of NYC’s best cooks including Bushwick’s own Kevin Adey of ,. Amazing!,So I was lucky enough (well, my boyfriend was really the lucky one) to get to try two ChefDay cooking experiences. First up was the Stir Fried Green Bean Vermicelli, then the Parmesan Veal Milanese. The veal was hands-down my favorite of the two.,Cooking the dish was a breeze. I absolutely love food and also cook a lot, but I’d never seek out a veal dish to cook at home. Instead of stressing out about where to find quality veal, I received fresh, local veal cuts and all the ingredients and instructions to whip up the rest of the dish. The best part was the video that goes along with your cooking, a chef exclusively going over the recipe while cooking it him/herself. So, you’re not only watching a famous chef in action, you’re also getting professional culinary tips. It goes one step at a time so you won’t get frazzled trying to keep up.,In the end, we had a wonderful Veal Milanese meal for two with arugula, provole, and red pepper that truly felt gourmet. Although I admittedly wasn’t as full as I could have been, I was very satisfied with the quality of the flavors excited about cooking something totally unique.,If you love food, enjoy cooking and want to impress your guests, I highly recommend trying Chefday for a number of occasions! You can order each recipe in increments of 2, so you could have enough ingredients for a cooking party of 8 if you wanted. Also, what better way to impress a date than with a highly impressive meal? All meal packages for two are just $35. So, you’re basically getting a great meal, a fun and interactive cooking experience, and a tutorial from a chef for less than the price of eating out for 2.,Sound good? Head over to , to learn more, and check out their special Valentine’s day offer – 15% off all orders! Just order before midnight on February 13th and you’ll have your fresh package delivered on the day. Now all you need is someone to do the dishes for you when you’re done…",strict rule breaker. photographer. music obsessee. brooklynite.,"Bushwick,chefday,delivery,food,french,gourmet,northeast kingdom,Valentine's Day","
									Introducing Gourmet Cooking Startup, ChefDay							",Maria Gotay,,
"Editor's Pick,Featured","Bushwick! Open yourself up to a serendipitous adventure even on a school night! You can get an extra shot of espresso the next morning; right now go with the flow of this incredible neighborhood, and enjoy the moment without the weekend crows. Pencil these events into your social diary!,Monday nights are traditionally reserved to film screenings and performances at Microscope Gallery. Tonight, the gallery presents films and videos by Stan Brakhage, Christopher Harris, Ted Kennedy, Owen Land (George Landow), Jeanne Liotta, Jonas Mekas and Tenzin Phuntsog. Do not miss!,Ridgewood Social started as a regular meet up group for those of us who already live on the Queens side. Meet your neighbors within walking distance from your home and explore bars and restaurants of Ridgewood. The group meets up every other Monday at Cozy Corner pizzeria., ,If you are curious and not scared of your future, we recommend checking out Tarot Tuesdays at Kave. David Wilson will read your cards and we predict a good beginning to an unexpectedly awesome night.,Who wouldn’t like to hang out at Molasses Books after dark? They invited DJ Sex Libris (Kevin from Salome, House of Screwball) to spin. $2 will get you Genesee Cream Ale and $3 a STIEGL until 9pm. Additionally, they serve wine, coffee and tea. Sounds like a nice, chill night to us!,We’re loving the idea of a video game Wednesdays that Tutu’s has introduced recently. Check them out and enjoy some Nintendo!,New fresh-Mex joint, La Gringa Taqueria is inviting everyone for a weekly movie night. This week, they are projecting the back-to-school romantic dramedy , with Channing Tatum and Rosario Dawson. Oh, and we hear their tacos are awesome!!,Thursdays surely are the new Fridays at La Piazzetta Restaurant and Bar in East Williamsburg. You can look forward to hearing local bands: Lunchbox, Indian Rebound, I’m Turning Into and Eastern Hollows. Let the party begin!, , ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,cozy corner,Kave,la gringa taqueria,la piazzetta,Microscope Gallery,Molasses Books,pizza monday,ridgewood social,school night,social calendar,tutu's,video game night","
									Your Social Calendar for a Bushwick School Night							",Katarina Hybenova,,
People,"It’s undeniable – drag is blowing up in New York. Drag is being redefined and reimagined by young queens that rap, sing, create video backdrops to their performances, and stylize their personas in a multitude of eccentric and artistic ways. One of this year’s brightest drag personalities is Bushwick resident ,, who has put on her red wig (or on some occasions, hasn’t put on her wig!), waltzed into the Brooklyn queer nightlife scene and taken over. At the ,, she described the beginning of her journey as starting from many nights of networking at Metropolitan in Williamsburg and has since been part of creating and hosting many events all over Brooklyn. Merrie Cherry has been a large part in creating the artistic drag performance art space and party ,, the monthly drag competition ,, the monthly , party at , in Williamsburg, and the weekly game night at This n’ That on Tuesdays.,Merrie Cherry also co-hosted (with Murray Hill), and co-created the very successful Brooklyn Nightlife Awards at Glasslands Gallery on January 27th, which celebrated performers, artists, and employees from all over the LGBTQA spectrum.,We couldn’t miss the chance to ask with this Bushwick character a couple of questions. ,I ran into a guy I met a while back; he did not remember my name so he called me Merry Cherry. Merry, because I was apparently very merry that day and cherry, because I was wearing all red. I liked the name and I just messed with the name a bit and voila!!!!,Four years in San Francisco, but nothing serious. Over a year now as Merrie Cherry.,Having a married man hit on me and take me home. For the record I didn’t know he was married until I was looking for tooth paste in the medicine cabinet the next morning and saw the wedding ring,,It was a huge undertaking and I did not expect such great feedback in the beginning. I knew people had been talking about how such an event needed to happen, but all they did was talk. This was also a test to see if I could accomplish an event of this size on my own. I have worked on over 50 events in the non-profit world, but always had a team of people supporting one another. I had to be the one to put the pressure on, some of my bitch friends definitely made sure I was on my toes as well. I wanted the creatures of the night to come out and play with one another and I feel I accomplished that goal.,My heart inspires me. I go with my feeling and see what happens. If I am a hot mess or a beauty, I am still Merrie!,We are moving on up, and definitely not to the Eastside. I am excited to see what is coming out of Bushwick. There is a light here that has only recently started to burn.,Definitely an annual event.,A party that my friend David John Sokolowski and I are doing at the new bar in Bushwick called ,.,Thank you to Cindy Ballentine, Aaron Duesing, Murray Hill, Maty Longo, Steven Mc Enrue, and Pepper Cambeiro.,Looking out from back stage and seeing people smile.,No. One event could not make this booming borough stagnate. If anything the BNA will have to expand and change with the creative movement., ","Writer, I guess, Bartender, and Music and Kitten lover. 
My days mainly consist of nearly cathartic, idealistic planning and going to music shows in the area.","BIZARRE,brooklyn nightlife awards,Bushwig. drag,Jason Daniels,LGBTQ,Merrie Cherry","
									The Drag Personality of the Moment: Merrie Cherry							",James Ryder,,
"Featured,In the Hood","As a longtime , fans, we were beyond ecstatic when we received a press release about their upcoming Valentine’s Day Party, ,! If you’re unfamiliar, Rubulad is one of Brooklyn’s best underground parties – so underground in fact that they don’t have any official web presence! Their events bring people of all walks to life and all ages (well, 21+) to get together and experience top-notch entertainment. Combining art, music, performance art, costumes, incredible decour and general bacchanalia, Rubulad creates unforgettably great nights. The party will take place in an all-new venue off the Jefferson L stop that is “truly astounding”. But that’s not all…if all goes well, they’ll keep the space as their own venue and continue pumping parties out for a long time to come. We all need more Rubulad in our lives…,Here’s some info about how amazing this party is going to be… If you want a summary, pay attention to the following terms: ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, all around,., ,FAST FACTS:, Rubulad’s “Love Unlimited”, Saturday, February 9,: 9pm till 4:30am, Super Special Secret Location near the Jefferson St. stop ofthe L Train! Get the hush-hush , $10 before 10pm, $15 all night in costume or if you’re wearing wings, $20 otherwise. TICKETS ONLY AT THE DOOR.,We will see you there! Get ,. Tickets available AT THE DOOR ONLY.",strict rule breaker. photographer. music obsessee. brooklynite.,"brooklyn underground,Bushwick,jefferson,Love Unlimited,rave,Rubulad","
									Rubulad in Bushwick this Weekend, Possibly for Good							",Maria Gotay,,
In the Hood," is a new movie created in and from Bushwick  about how desperate can a 20-something man get. Mostly Awake, which was compared to , for dudes, will premiere on February 23, 2013 at Bat Haus. Its creator Cody Swanson told DNA Info:,“I had all these friends who were trying to do projects that would fall through or people in bands who wouldn’t play very often or people who wanted to be actors but didn’t act. I figured I’d kill all the birds with one stone.”,The trailer looks fun, and we can’t wait to see a bar fight at Mama Joy’s, Pine Box Rock Shop, the Loom, North Brooklyn Collective and other Bushwick locations on Bogart Street and Jefferson Street near the Morgan L station., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bat Haus,Bushwick,girls,mostly awake,movie","
									Mostly Awake, a Bushwick Film Looks Awesome							",Katarina Hybenova,,
Editor's Pick,"Since these adorable puppies on Jimmy Fallon have already predicted who will win the Super Bowl, we can start focusing on what is , important – a good party! If you are still wondering which bars in Bushwick will provide you with the best chicken wings, beer and something a little extra to go with all that football, you’re at the right spot. Check out our selection of the five most awesome places to spend your Super Bowl Sunday…,Yes, our beloved book shop on Hart Street in Bushwick will attempt to participate in the Super Bowl fun on Sunday. The owner of Molasses, Matt, told us that he will be serving $2 beers and “playing Springsteen records while attempting (and probably failing) to stream the game on two tiny Macbooks.” If the Super Bowl screening fails, or if Beyonce gets on your nerves, you can always grab a book and keep on sipping beer like it’s any other Sunday.,Our super-fav Ridgewood gallery Small Black Door has prepared something really awesome! That is a fusion of art and sports, naturally. Starting at 4PM, they will present an art show inspired by “everything right and wrong in sports, art and contemporary American Culture: heroics, mythology, aesthetic, spectacle, money, violence, sexism, drugs, and death.” The art show will be followed by the spectacular Super Bowl XLVII game, exhibition and performances. See ya at the Small Black Door stoop, everyone!,If you’re looking for a more traditional place to spend your Super Bowl, we know of an awesome, cozy bar that has a flatscreen and happy hour starting at 6PM ending at 8PM (woohoo!). Additionally, they will be serving delicious chili for $9 with any draft beer. Naturally, Beyonce fans will be treated with equal love. Check out Miles on Wilson Ave!,At Heavy Woods they believe that nothing is more appropriate than football and Cajun food. Additionally, they will honor their patrons with $12 buckets of Bud. Just like you used to do in college.,God knows that the best part of the Super Bowl is the puppies. Or kittens. In any case, if you’re a fan these adorable little clumsy creatures, you should go to Alaska because they will be rooting for labs as well. They are promising chicken wings, lotsa beer and deer heads on the wall (as usual). Cheers to puppies!, ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Alaska,Bushwick bars,Heavy Woods,Miles,Molasses Books,Small Black Door,Super Bowl","
									Super Bowl Sunday in Bushwick: Top 5 Places to Go							",Katarina Hybenova,,
Music,"One of the Bushwick Daily’s ,, ,, has just premiered the official video for their single Abstract Speed.  The video premiered  exclusively on ,s with rave reviews.,I hope you all like the color green, abstract shapes, and  close ups of lead singer Mike McKeever’s face.The oscilloscope styled video was directed by ,. Warning: this video may give you a seizure.,If you haven’t heard about Life Size Maps yet, make sure to check them out. They , with Javelin and Guardian Aliens at Shea Stadium.",Park Slope transplant living in East Williamsburg,"Bushwick music,Life Size Maps,noise pop,Shea Stadium","
									Life Size Map Premiers a Trippy Music Video							",Asha Chagoyen,,
"Editor's Pick,Featured","Sport’s not your thing? You’re not alone, and especially in Bushwick. Also, no one invited me to their SuperBowl “,” or whatever. Well, While everyone else is finding the best sports bar (or painstakingly figuring out 8 ways to prepare vegan chick’n wings for this year’s ironic superbowl party), we’ve got a bunch of OTHER things for you to get off your ass and experience a unique slice of life this Sunday afternoon.,Bradford Cox, near and dear to my heart, is a musician best known for his work as the lead singer in psych rock band ,. He’s also known in some circles for his solo work – looping nostalgic, experimental and folk-based tunes- under the title of ,. Besides his infamy as a musical genius  Bradford is a well-known as an indie culture icon for his rare disease- Marfan’s Syndrome. Our friends at , commissioned a documentary called ,, about his strange, lonely upbringing, which will be premiering at 4PM, followed by an intimate performance. This is a must-attend for music lovers and film buffs alike.,Science geeks and art lovers come together to see this installation, which is an interactive sound/light exhibit based on Carbon 60 molecules which were invented by futurist Buckminster Fuller in 1985. This is the ultimate in trippy public art- a light show plus a noise experiment that changes sound upon touch. There are also zero-gravity chairs surrounding the exhibit to lounge in. So much better than your friend’s crowded popcorn-filled couch.,Stay in the neighborhood , hear sweet tunes. Oberhofer’s thrash-dance rock tunes will have you sh-sh-shakin’. Plus, no one will be chatting loudly about the Superbowl- the promoter’s own tagline for the showcase is “Superbowl Sunday? Pass.”,Hot Chocolate RULES- and especially when you have 29 flavors to choose from. And because you’re avoiding the fattening experience that is American football, indulge in some incredible (called the best in NYC) hot cocoa that won’t fill you with hope for a losing team- because when you drink hot chocolate, NO ONE loses.,If you have a kid, dislike sports, and happen to be reading this, you are in luck. We’ve found the best event even for your indie Brooklyn baby. Kidrockers, a cool event series put on ,, brings together your fave musicians with your fave child in an event of musican ecstasy. Even if the kid can’t tell the difference between Hooray for Earth’s lead singer or his uncle Jerry. If you’re not convinced, watch the adorable video above, which features ,.",strict rule breaker. photographer. music obsessee. brooklynite.,"bradford cox,Brooklyn Bowl,deerhunter,fuck football,hooray for earth,nonsuperbowl,oberhofer,ps1,riot of perfume","
									5 Non-Superbowl Events this Sunday							",Maria Gotay,,
In the Hood,"It’s not like I was invited. In fact I was told that this pad is pretty full during Superbowl, and other dudes are even bringing their own chairs. What’s worse, I was even specifically asked not to invite Bushwick Daily readers. So guys, please do not crash this carefully crafted dude night celebrating what my glamorously European, female self thought was “Superball.” Regardless, I am sharing this invitation with all the ladies of Bushwick as a means to explore and maybe someday understand the complicated and fragile soul of a Bushwick dude.,Here it goes:","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","beyonce,Bushwick,SUPERBOWL","
									Explore the Soul of a Bushwick Dude: SUPERFUCKINGBOWL XLVII							",Katarina Hybenova,,
"Featured,Music","Guess who is still alive and still going in 2013? I am celebrating my second anniversary of living in Bushwick, so you should celebrate with me! Let’s put on our Champion shoes and dance!,Sorry for being EMO, but this band just does it for me. Super hot lads, amazing music, and their song “All I want” was hit over 13 million times for their Google ad. Not too shabby. They go on at 8PM, so be there! Bring a tissue.,Quiet Loudly for the win. I cannot get enough of them. But I have never been to the Silent Barn, so this is just the perfect excuse to walk half a block from my crib, with a sippy cup. And I need to see the people behind the name , I am coming for you., ,LET’S DO DIS. Parquet Courts are my newest obsession. This is the band to watch and I am so there. I am gonna be wearing comfy clothes to lose my mind without hurting myself…again. Boys meet your new groupie, err “Band Aid”,This is strictly for the #StillGoing crew. Did someone say I’m invited back to Glasslands? Yes! Isa GT is legit. If electronic world beats is what you want, then look no further. I have my eye on her. She is a #Champion.,I have been trying to avoid putting this place in my Top 5 because that means I will be running into ex-dates and new people, and it will become super popular. I am a possessive girl. However, this place is just the combination of retro, modern, Miami Vice, and loose morals. Whatever act this is; like most here will blow my mind. Engage brunch shades on this one.,Remember when buying me a drink, roofies dissolve better in Vodka.,#FindMe","When asked what she wanted to be as a child, she replied “Japanese.” Her passion for Music lead her on a Vision Quest. Which landed her on the island of Manhattan. She has perfected the Art of Brunch.","285 kent,Alex Lemire,Bossa Nova Civic Club,Glasslands,Isa GT,Jane Eyre,kodaline,Lliam Spills,mercury lounge,parquet courts,Purling Hiss,Quiet Loudly,silent barn,Slonk Donkerson,Zula","
									Still Going in 2013 – Top 5 Live Acts to Celebrate Being Alive in Bushwick!							",Jenna Aranda,,
"Arts and Culture,Featured"," were the culmination of this past year’s talent, performance art, creative expression and entertainment in one of the city’s, and nation’s, most talked about and most artistic places, Brooklyn. Hosted by the hilarious and seasoned , and the creator of the event , (Jason Daniels), the Brooklyn Nightlife Awards took place at the , on 289 Kent Avenue in Williamsburg. Beneath the beautiful cloth-cloud installation known as one of Glasslands’ iconic art pieces, the stage was lit up by Merrie Cherry’s gorgeous, flowing red gown. To the right of the stage, the talented DJ Anthony Dicapua kept the music in sync, entertaining and on point throughout the entire night. As Murray Hill facetiously noted, “We’re in a warehouse with Christmas lights! This is the big time!” Everyone in attendance dressed to stun. Ensembles ranging from virtually nothing at all to layers and layers of fur, designer jackets, studs, feathers, rhinestones, masks, makeup, metal, and even cardboard formed an idyllic landscape of the diversity of styles in and around Brooklyn.,According to the Facebook fan page, the BNAs “… are meant to support and represent the night life industry in Brooklyn, a boro [sic] that has grown enormously in the last five years. With this growth in population, the night life industry has grown as well – but continues to lack acknowledgement. The BNA Awards will attempt to bring this aspect of Brooklyn to life by highlighting personalities and the creative individuals that wake at night and bring entertainment to the masses.”,The performances by Ab Soto, Horrorchata, Krystal Something Something, Zebra Baby, and Di Ba were flawlessly representative of the grungy, risqué and artistic feel of the Brooklyn Nightlife while merging those attributes with the production quality befitting an award ceremony.,The diversity of the performances paralleled the extensive spectrum of styles and personalities that made up those of the people in attendance.,The Brooklyn Nightlife Awards were also one of the most inclusive LGBTQA events I’ve attended since I’ve lived in Brooklyn. Queers of every letter - from Lesbian, Gay, Bisexual to Transmen and Transwomen - attended the event. People identifying as queer and some straight allies were also present. It was refreshing and exciting to see so many people from all over the LGBTQ spectrum both performing and sharing in the uniqueness and talent that makes up the Brooklyn nightlife scene, creating a new version of homonormative artistic space to which only Brooklyn can lay claim.,Sponsors for the event included One Last Shag in Bedstuy, Sugarland, Nightclub in Williamsburg, and Bagelsmith. And I’m proud to point out that Bushwick Daily was one of the nominees in the category The Best Publisher.,Best Bar/Club in Brooklyn: Tandem Bar (Bushwick),Best Food Truck: Casa Taqueria (Williamsburg),Best Outdoor Event: Bushwig,Best Venue with a Patio: Metropolitan Bar,Best DJ: Michael M.,Best Reason to Leave Brooklyn: Westgay @ Westway (Manhattan),Best Photographer: Santiago Felipe,Best Mixed Party: Spectrum (Bushwick),Favorite Door Person: Kim Harris,Best Event Publisher: Next Magazine,Best Burlesque Dancer: Barlinda,Best Promoter of the Year: Mr. Earl Dax of Pussy Faggot @ Public,Assembly (Williamsburg),Best Bartender: Will Myrick of Tandem Bar (Bushwick),Favorite Drag Queen: Mocha Lite, , ","Writer, I guess, Bartender, and Music and Kitten lover. 
My days mainly consist of nearly cathartic, idealistic planning and going to music shows in the area.","Ab Soto,brooklyn nightlife awards,Di Ba,DJ Anthony Dicapua,Glasslands Gallery,Horrorchata,Krystal Something Something,Merrie Cherry,Murray Hill,Zebra Baby","
									How Were Brooklyn Nightlife Awards & Who Won							",James Ryder,,
Music,"Earlier this month, Brooklyn ,, a traveling party and music showcase, put on a show at Shea Stadium featuring ,, , and ,. It was a chilly Thursday evening but folks made their way to industrial Meadow Street for an evening of melodic variety and good company. A really nice crowd of longtime friends of Aputumpu and of the bands came to support them. The Micks started off the show with foot-tapping, blues inspired, punk rock and garage undertones.,Osekre & The Lucky Bastards (who , quite a few times) played next. Fronted by the founder of Aputumpu, Osekre delivered so much energy when he performed, it fueled the audience into a dancing frenzy. This six-member band, composed of brass, strings and drums, pulls its sound from African folk, punk, indie, and other genres. What makes this band so enjoyable is their capability to mix multiple types of music and form an upbeat sound that everyone can relate to.,Following Osekre was ,, a four-piece dreamy shoegaze band who have been getting a lot of press lately. At this point in the show, if anyone was seated, they were now standing up by the stage. Rachel Brown, singer and guitarist, entranced the crowd with her soothing, dream-pop vocals, while her band delivered tranquil harmonies through steady, soft guitar and drums.,Headlining the night was ,. Sarah Kinlaw and Bryan Keller lead this experimental pop band. They can be described as having fluid instrumentals and an overall innovative, ambient sound. Kinlaw’s voice is seductive and powerful and completely draws you in – a perfect ending to the night., ",,"Aputumtu,Brooklyn,Bushwick,Field Mouse,Osekre & The Lucky Bastards,Shea Stadium,SoftSpot,The Micks","
									Traveling Music Showcase Aputumpu Rocks Shea Stadium							",Ileana Little,,
In the Hood," ,Is there enough vagina in Bushwick? Director Meggie Schmidt doesn’t think so, and plans to bring a mutation of the famous episodic play to our lovely neighborhood.  The monologues deal with various aspects of feminine experience with the recurring motive of vagina as “a tool of female empowerment, and the ultimate embodiment of individuality.” I think that in a neighborhood where ,, a little bit of female empowerment can’t hurt…,Join Meggie Schmidt this Saturday at 3PM at , for an interest meeting., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Bushwick,meggie schmidt,pine box rock shop,vagina monologues","
									Vagina Monologues in Bushwick							",Katarina Hybenova,,
